SalePrice,Area,Price/m2,Width,Length,Location
8500.0,102.0,83.33,5.0,20.0,quan son tra
4200.0,76.0,55.26,5.0,15.2,quan thanh khe
387.0,108.0,3.58,5.21,20.0,huyen hoa vang
2400.0,105.0,22.86,5.0,21.0,quan lien chieu
2750.0,90.0,30.56,6.0,15.0,quan cam le
388.0,104.0,3.73,5.0,20.0,huyen hoa vang
13500.0,160.0,84.38,10.0,16.0,quan son tra
2100.0,52.6,40.38,4.2,12.52,quan son tra
4050.0,100.0,40.5,5.0,20.0,quan cam le
4400.0,100.0,44.0,5.0,20.0,quan ngu hanh son
3500.0,100.0,35.0,5.0,20.0,quan cam le
2550.0,90.0,28.33,4.5,25.0,quan lien chieu
1700.0,70.0,24.29,6.0,25.0,quan lien chieu
1410.0,85.0,16.59,5.0,17.0,quan ngu hanh son
3650.0,100.0,36.5,5.0,20.0,quan cam le
1330.0,65.0,20.46,5.0,20.0,quan lien chieu
2900.0,100.0,29.0,5.0,20.0,quan cam le
4100.0,100.0,41.0,5.0,20.0,quan cam le
2950.0,105.0,28.1,5.0,21.0,quan ngu hanh son
5100.0,100.0,51.0,5.0,21.0,quan ngu hanh son
4180.0,100.0,41.8,5.0,20.0,quan cam le
2300.0,110.0,20.91,4.7,22.0,quan cam le
2590.0,100.0,25.9,5.0,20.0,quan cam le
1650.0,100.0,16.5,5.0,20.0,quan ngu hanh son
1350.0,150.0,9.0,6.0,25.0,huyen hoa vang
4050.0,100.0,40.5,5.0,20.0,quan cam le
4050.0,100.0,40.5,5.0,20.0,quan cam le
520.0,100.0,5.2,5.0,20.0,huyen hoa vang
2600.0,75.0,34.67,5.0,15.0,quan lien chieu
5600.0,122.5,45.9,5.0,24.5,quan cam le
2550.0,90.0,28.33,5.0,18.0,quan lien chieu
1390.0,150.0,9.27,5.0,30.0,huyen hoa vang
2320.0,100.0,23.2,5.0,20.0,quan cam le
8800.0,220.0,40.0,10.0,22.0,quan son tra
2222.222,100.0,22.22,5.0,20.0,quan ngu hanh son
1400.0,100.0,14.0,5.0,20.0,quan ngu hanh son
2380.0,100.0,23.8,5.0,20.0,quan ngu hanh son
4600.0,100.5,46.0,5.0,20.5,quan ngu hanh son
1350.0,65.0,20.77,5.0,12.0,quan lien chieu
2760.0,106.0,26.04,5.0,22.0,quan cam le
524.0,100.0,5.24,5.0,22.0,huyen hoa vang
2050.0,95.0,21.58,5.0,19.0,quan lien chieu
2100.0,100.0,21.0,5.0,20.0,quan lien chieu
3000.0,100.0,30.0,5.0,20.0,quan ngu hanh son
1410.0,62.0,22.74,7.0,9.0,quan lien chieu
5200.0,153.0,33.99,7.0,9.0,quan ngu hanh son
3520.0,100.0,35.2,5.0,20.0,quan cam le
2770.0,147.0,18.84,7.0,19.0,quan ngu hanh son
3000.0,64.0,46.88,4.5,14.0,quan son tra
2450.0,100.0,24.5,5.0,20.0,quan ngu hanh son
3520.0,100.0,35.2,5.0,20.0,quan cam le
16500.0,210.0,78.57,5.0,20.0,quan son tra
1669.0,81.0,20.6,5.0,16.0,quan son tra
3450.0,68.0,50.74,5.0,16.0,quan thanh khe
2050.0,68.0,30.15,4.5,16.0,quan lien chieu
3050.0,99.5,30.81,5.0,19.9,quan ngu hanh son
3450.0,100.0,34.5,5.0,20.0,quan cam le
1730.0,105.0,16.476190476190474,5.0,21.0,quan ngu hanh son
3700.0,90.0,41.11,5.0,18.0,quan thanh khe
6200.0,104.0,59.62,4.0,21.0,quan son tra
2100.0,52.6,40.38,4.2,12.52,quan son tra
9000.0,180.0,50.0,18.0,10.0,quan son tra
1600.0,100.0,16.0,5.0,20.0,quan lien chieu
792.9,105.0,7.55,5.0,21.0,quan ngu hanh son
4500.0,122.0,36.89,5.0,24.5,quan cam le
1760.0,150.0,11.73,5.0,30.0,huyen hoa vang
8700.0,180.0,48.33,10.0,18.0,quan son tra
1500.0,80.0,18.75,5.0,16.0,quan cam le
2300.0,88.0,26.14,4.0,22.0,quan thanh khe
4450.0,120.0,37.08,5.0,24.0,quan cam le
4500.0,90.0,50.0,5.0,18.0,quan ngu hanh son
2750.0,100.0,27.5,5.0,20.0,quan cam le
2408.0,100.0,24.08,5.0,20.0,quan cam le
6700.0,87.5,77.01,4.0,25.0,quan son tra
2450.0,62.0,39.52,4.0,25.0,quan hai chau
2350.0,118.0,19.92,5.0,23.0,quan lien chieu
2100.0,53.0,39.62,4.0,12.0,quan son tra
